"","ID","LineID","PriFault","SecFault","FmCode","FmName","UpFmCode","UpFmName","FaultSense","DipDir","HW_VOffset","Comment","Author","Year","Title","Source","RefPg","ErrRange","PubScale"
"36",33,62,"seismic","geophysical logs",5600,"PERMO-PENN SYSTEM",NA,NA,"normal",145,NA,"long, slightly curved, vague on isopach map (Fig. 15.1)","Henderson, C.M., Richards, B.C. and Barclay, J.E.","1994","Permian Strata of the Western Canada Sedimentary Basin.","In: Geological Atlas of the Western Canada Sedimentary Basin.  G.D. Mossop and I. Shetsen (compilers), Calgary; Canadian Society of Petroleum Geologists and Alberta Research Council. p. 251-258.","252","< 1 m","1:5,000,000"
"37",33,63,"seismic","geophysical logs",5600,"PERMO-PENN SYSTEM",NA,NA,"normal",340,NA,"curved, long, not on isopach map","Henderson, C.M., Richards, B.C. and Barclay, J.E.","1994","Permian Strata of the Western Canada Sedimentary Basin.","In: Geological Atlas of the Western Canada Sedimentary Basin.  G.D. Mossop and I. Shetsen (compilers), Calgary; Canadian Society of Petroleum Geologists and Alberta Research Council. p. 251-258.","252","< 1 m","1:5,000,000"
"39",33,38,"seismic","geophysical logs",5600,"PERMO-PENN SYSTEM",NA,NA,"normal",250,NA,"base of same ramp as fault 36 at eastern edge","Henderson, C.M., Richards, B.C. and Barclay, J.E.","1994","Permian Strata of the Western Canada Sedimentary Basin.","In: Geological Atlas of the Western Canada Sedimentary Basin.  G.D. Mossop and I. Shetsen (compilers), Calgary; Canadian Society of Petroleum Geologists and Alberta Research Council. p. 251-258.","252","< 1 m","1:5,000,000"
"40",33,37,"seismic","geophysical logs",5600,"PERMO-PENN SYSTEM",NA,NA,"normal",255,NA,"immediately east of zero edge (does not affect Penn-Permian)","Henderson, C.M., Richards, B.C. and Barclay, J.E.","1994","Permian Strata of the Western Canada Sedimentary Basin.","In: Geological Atlas of the Western Canada Sedimentary Basin.  G.D. Mossop and I. Shetsen (compilers), Calgary; Canadian Society of Petroleum Geologists and Alberta Research Council. p. 251-258.","252","< 1 m","1:5,000,000"
"41",33,39,"seismic","geophysical logs",5600,"PERMO-PENN SYSTEM",NA,NA,"normal",45,NA,"western ramp of easternmost depositional center","Henderson, C.M., Richards, B.C. and Barclay, J.E.","1994","Permian Strata of the Western Canada Sedimentary Basin.","In: Geological Atlas of the Western Canada Sedimentary Basin.  G.D. Mossop and I. Shetsen (compilers), Calgary; Canadian Society of Petroleum Geologists and Alberta Research Council. p. 251-258.","252","< 1 m","1:5,000,000"
"42",33,64,"seismic","geophysical logs",5600,"PERMO-PENN SYSTEM",NA,NA,"normal",330,NA,"short, not clear on isopachs","Henderson, C.M., Richards, B.C. and Barclay, J.E.","1994","Permian Strata of the Western Canada Sedimentary Basin.","In: Geological Atlas of the Western Canada Sedimentary Basin.  G.D. Mossop and I. Shetsen (compilers), Calgary; Canadian Society of Petroleum Geologists and Alberta Research Council. p. 251-258.","252","< 1 m","1:5,000,000"
"43",33,2398,"thickness change","(none)",5600,"PERMO-PENN SYSTEM",NA,NA,"normal",150,NA,NA,"Henderson, C.M., Richards, B.C. and Barclay, J.E.","1994","Permian Strata of the Western Canada Sedimentary Basin.","In: Geological Atlas of the Western Canada Sedimentary Basin.  G.D. Mossop and I. Shetsen (compilers), Calgary; Canadian Society of Petroleum Geologists and Alberta Research Council. p. 251-258.","252","< 1 m","1:5,000,000"
"44",33,43,"seismic","geophysical logs",5600,"PERMO-PENN SYSTEM",25810,"CENOMANIAN","normal",45,NA,"Rycroft Fault, curved, long, related to Fort St John Graben, Cenomanian activity from Kiernan, J. P. (1996)","Henderson, C.M., Richards, B.C. and Barclay, J.E.","1994","Permian Strata of the Western Canada Sedimentary Basin.","In: Geological Atlas of the Western Canada Sedimentary Basin.  G.D. Mossop and I. Shetsen (compilers), Calgary; Canadian Society of Petroleum Geologists and Alberta Research Council. p. 251-258.","252","< 1 m","1:5,000,000"
"45",33,46,"seismic","geophysical logs",5600,"PERMO-PENN SYSTEM",NA,NA,"normal",50,NA,"Curved, along a 'topographic high'","Henderson, C.M., Richards, B.C. and Barclay, J.E.","1994","Permian Strata of the Western Canada Sedimentary Basin.","In: Geological Atlas of the Western Canada Sedimentary Basin.  G.D. Mossop and I. Shetsen (compilers), Calgary; Canadian Society of Petroleum Geologists and Alberta Research Council. p. 251-258.","252","< 1 m","1:5,000,000"
"46",33,45,"seismic","geophysical logs",5600,"PERMO-PENN SYSTEM",NA,NA,"normal",50,NA,NA,"Henderson, C.M., Richards, B.C. and Barclay, J.E.","1994","Permian Strata of the Western Canada Sedimentary Basin.","In: Geological Atlas of the Western Canada Sedimentary Basin.  G.D. Mossop and I. Shetsen (compilers), Calgary; Canadian Society of Petroleum Geologists and Alberta Research Council. p. 251-258.","252","< 1 m","1:5,000,000"
"47",33,44,"seismic","geophysical logs",5600,"PERMO-PENN SYSTEM",NA,NA,"normal",50,NA,"Relay with Fault 43","Henderson, C.M., Richards, B.C. and Barclay, J.E.","1994","Permian Strata of the Western Canada Sedimentary Basin.","In: Geological Atlas of the Western Canada Sedimentary Basin.  G.D. Mossop and I. Shetsen (compilers), Calgary; Canadian Society of Petroleum Geologists and Alberta Research Council. p. 251-258.","252","< 1 m","1:5,000,000"
"48",33,65,"seismic","geophysical logs",5600,"PERMO-PENN SYSTEM",NA,NA,"normal",330,NA,"may be longer both to NE and SW","Henderson, C.M., Richards, B.C. and Barclay, J.E.","1994","Permian Strata of the Western Canada Sedimentary Basin.","In: Geological Atlas of the Western Canada Sedimentary Basin.  G.D. Mossop and I. Shetsen (compilers), Calgary; Canadian Society of Petroleum Geologists and Alberta Research Council. p. 251-258.","252","< 1 m","1:5,000,000"
"49",33,47,"seismic","geophysical logs",5600,"PERMO-PENN SYSTEM",NA,NA,"normal",240,NA,"long, not obvious on isopach map, parallel to thrust front, should show up in Cret-reactivated by loading","Henderson, C.M., Richards, B.C. and Barclay, J.E.","1994","Permian Strata of the Western Canada Sedimentary Basin.","In: Geological Atlas of the Western Canada Sedimentary Basin.  G.D. Mossop and I. Shetsen (compilers), Calgary; Canadian Society of Petroleum Geologists and Alberta Research Council. p. 251-258.","252","< 1 m","1:5,000,000"
"52",33,68,"thickness change","(none)",5600,"PERMO-PENN SYSTEM",NA,NA,"normal",340,NA,"postulated southern ramp of the main depositional center of the Penn-Permian","Henderson, C.M., Richards, B.C. and Barclay, J.E.","1994","Permian Strata of the Western Canada Sedimentary Basin.","In: Geological Atlas of the Western Canada Sedimentary Basin.  G.D. Mossop and I. Shetsen (compilers), Calgary; Canadian Society of Petroleum Geologists and Alberta Research Council. p. 251-258.","252","< 1 m","1:5,000,000"
"53",33,67,"thickness change","(none)",5600,"PERMO-PENN SYSTEM",NA,NA,"normal",150,NA,"postulated at northern ramp of a dep center close to the orogen","Henderson, C.M., Richards, B.C. and Barclay, J.E.","1994","Permian Strata of the Western Canada Sedimentary Basin.","In: Geological Atlas of the Western Canada Sedimentary Basin.  G.D. Mossop and I. Shetsen (compilers), Calgary; Canadian Society of Petroleum Geologists and Alberta Research Council. p. 251-258.","252","< 1 m","1:5,000,000"
"54",33,66,"thickness change","(none)",5600,"PERMO-PENN SYSTEM",NA,NA,"normal",330,NA,"postulated at southern ramp of an alongated depositional center close to the orogen","Henderson, C.M., Richards, B.C. and Barclay, J.E.","1994","Permian Strata of the Western Canada Sedimentary Basin.","In: Geological Atlas of the Western Canada Sedimentary Basin.  G.D. Mossop and I. Shetsen (compilers), Calgary; Canadian Society of Petroleum Geologists and Alberta Research Council. p. 251-258.","252","< 1 m","1:5,000,000"
"59",8,78,"structural contours","(none)",9800,"PRECAMBRIAN SYSTEM",7200,"LEDUC FM","unknown",0,NA,"May be the southwesterly continuation of fault F77","O'Connell, S.C.","1994","Geological History of the Peace River Arch.","In: Geological Atlas of the Western Canada Sedimentary Basin.  G.D. Mossop and I. Shetsen (compilers), Calgary; Canadian Society of Petroleum Geologists and Alberta Research Council. p. 431-438.","433","< 1 km","1:357,000"
"60",8,77,"structural contours","(none)",9800,"PRECAMBRIAN SYSTEM",7200,"LEDUC FM","unknown",0,NA,"May be the southwesterly continuation of fault F72","O'Connell, S.C.","1994","Geological History of the Peace River Arch.","In: Geological Atlas of the Western Canada Sedimentary Basin.  G.D. Mossop and I. Shetsen (compilers), Calgary; Canadian Society of Petroleum Geologists and Alberta Research Council. p. 431-438.","433","< 1 km","1:357,000"
"61",8,76,"structural contours","(none)",9800,"PRECAMBRIAN SYSTEM",7200,"LEDUC FM","normal",0,NA,"May be the southwesterly continuation of fault F72","O'Connell, S.C.","1994","Geological History of the Peace River Arch.","In: Geological Atlas of the Western Canada Sedimentary Basin.  G.D. Mossop and I. Shetsen (compilers), Calgary; Canadian Society of Petroleum Geologists and Alberta Research Council. p. 431-438.","433","< 1 km","1:357,000"
"62",8,75,"structural contours","(none)",9800,"PRECAMBRIAN SYSTEM",7200,"LEDUC FM","unknown",0,NA,NA,"O'Connell, S.C.","1994","Geological History of the Peace River Arch.","In: Geological Atlas of the Western Canada Sedimentary Basin.  G.D. Mossop and I. Shetsen (compilers), Calgary; Canadian Society of Petroleum Geologists and Alberta Research Council. p. 431-438.","433","< 1 km","1:357,000"
"63",8,74,"structural contours","(none)",9800,"PRECAMBRIAN SYSTEM",7200,"LEDUC FM","unknown",0,NA,"may be the southwesterly continuation of Fault 71","O'Connell, S.C.","1994","Geological History of the Peace River Arch.","In: Geological Atlas of the Western Canada Sedimentary Basin.  G.D. Mossop and I. Shetsen (compilers), Calgary; Canadian Society of Petroleum Geologists and Alberta Research Council. p. 431-438.","433","< 1 km","1:357,000"
"64",8,73,"structural contours","facies change",9800,"PRECAMBRIAN SYSTEM",7200,"LEDUC FM","unknown",0,NA,"may be the southwesterly continuation of Fault 71","O'Connell, S.C.","1994","Geological History of the Peace River Arch.","In: Geological Atlas of the Western Canada Sedimentary Basin.  G.D. Mossop and I. Shetsen (compilers), Calgary; Canadian Society of Petroleum Geologists and Alberta Research Council. p. 431-438.","433","< 1 km","1:357,000"
"65",8,84,"structural contours","(none)",9800,"PRECAMBRIAN SYSTEM",7200,"LEDUC FM","unknown",0,NA,NA,"O'Connell, S.C.","1994","Geological History of the Peace River Arch.","In: Geological Atlas of the Western Canada Sedimentary Basin.  G.D. Mossop and I. Shetsen (compilers), Calgary; Canadian Society of Petroleum Geologists and Alberta Research Council. p. 431-438.","433","< 1 km","1:357,000"
"66",8,82,"structural contours","(none)",9800,"PRECAMBRIAN SYSTEM",7200,"LEDUC FM","normal",0,NA,NA,"O'Connell, S.C.","1994","Geological History of the Peace River Arch.","In: Geological Atlas of the Western Canada Sedimentary Basin.  G.D. Mossop and I. Shetsen (compilers), Calgary; Canadian Society of Petroleum Geologists and Alberta Research Council. p. 431-438.","433","< 1 km","1:357,000"
"67",8,81,"structural contours","(none)",9800,"PRECAMBRIAN SYSTEM",7200,"LEDUC FM","unknown",0,NA,NA,"O'Connell, S.C.","1994","Geological History of the Peace River Arch.","In: Geological Atlas of the Western Canada Sedimentary Basin.  G.D. Mossop and I. Shetsen (compilers), Calgary; Canadian Society of Petroleum Geologists and Alberta Research Council. p. 431-438.","433","< 1 km","1:357,000"
"68",8,83,"structural contours","(none)",9800,"PRECAMBRIAN SYSTEM",7200,"LEDUC FM","unknown",0,NA,NA,"O'Connell, S.C.","1994","Geological History of the Peace River Arch.","In: Geological Atlas of the Western Canada Sedimentary Basin.  G.D. Mossop and I. Shetsen (compilers), Calgary; Canadian Society of Petroleum Geologists and Alberta Research Council. p. 431-438.","433","< 1 km","1:357,000"
"69",8,80,"structural contours","(none)",9800,"PRECAMBRIAN SYSTEM",7200,"LEDUC FM","unknown",0,NA,"Right at the margin of Leduc Formation, projects into fault F79","O'Connell, S.C.","1994","Geological History of the Peace River Arch.","In: Geological Atlas of the Western Canada Sedimentary Basin.  G.D. Mossop and I. Shetsen (compilers), Calgary; Canadian Society of Petroleum Geologists and Alberta Research Council. p. 431-438.","433","< 1 km","1:357,000"
"70",8,79,"structural contours","(none)",9800,"PRECAMBRIAN SYSTEM",7200,"LEDUC FM","unknown",0,NA,NA,"O'Connell, S.C.","1994","Geological History of the Peace River Arch.","In: Geological Atlas of the Western Canada Sedimentary Basin.  G.D. Mossop and I. Shetsen (compilers), Calgary; Canadian Society of Petroleum Geologists and Alberta Research Council. p. 431-438.","433","< 1 km","1:357,000"
"71",8,85,"structural contours","(none)",7200,"LEDUC FM",NA,NA,"unknown",0,NA,NA,"O'Connell, S.C.","1994","Geological History of the Peace River Arch.","In: Geological Atlas of the Western Canada Sedimentary Basin.  G.D. Mossop and I. Shetsen (compilers), Calgary; Canadian Society of Petroleum Geologists and Alberta Research Council. p. 431-438.","433","< 1 km","1:357,000"
"72",8,86,"structural contours","(none)",7200,"LEDUC FM",NA,NA,"unknown",0,NA,NA,"O'Connell, S.C.","1994","Geological History of the Peace River Arch.","In: Geological Atlas of the Western Canada Sedimentary Basin.  G.D. Mossop and I. Shetsen (compilers), Calgary; Canadian Society of Petroleum Geologists and Alberta Research Council. p. 431-438.","433","< 1 km","1:357,000"
"73",8,88,"geophysical logs","facies change",7200,"LEDUC FM",NA,NA,"unknown",0,NA,"Syn-Leduc Fault (Fig. 28.10 after Dix, 1990)","O'Connell, S.C.","1994","Geological History of the Peace River Arch.","In: Geological Atlas of the Western Canada Sedimentary Basin.  G.D. Mossop and I. Shetsen (compilers), Calgary; Canadian Society of Petroleum Geologists and Alberta Research Council. p. 431-438.","433","< 1 km","1:357,000"
"74",8,87,"structural contours","(none)",7200,"LEDUC FM",NA,NA,"unknown",0,NA,NA,"O'Connell, S.C.","1994","Geological History of the Peace River Arch.","In: Geological Atlas of the Western Canada Sedimentary Basin.  G.D. Mossop and I. Shetsen (compilers), Calgary; Canadian Society of Petroleum Geologists and Alberta Research Council. p. 431-438.","433","< 1 km","1:357,000"
"77",6,91,"structural contours","(none)",9800,"PRECAMBRIAN SYSTEM",NA,NA,"unknown",0,NA,"Southwestern segment of PRA boundary","O'Connell, S.C.","1994","Geological History of the Peace River Arch.","In: Geological Atlas of the Western Canada Sedimentary Basin.  G.D. Mossop and I. Shetsen (compilers), Calgary; Canadian Society of Petroleum Geologists and Alberta Research Council. p. 431-438.","433","< 1 km","1:357,000"
"78",6,92,"structural contours","(none)",9800,"PRECAMBRIAN SYSTEM",NA,NA,"unknown",0,NA,"Southeastern segment of the PRA boundary","O'Connell, S.C.","1994","Geological History of the Peace River Arch.","In: Geological Atlas of the Western Canada Sedimentary Basin.  G.D. Mossop and I. Shetsen (compilers), Calgary; Canadian Society of Petroleum Geologists and Alberta Research Council. p. 431-438.","433","< 1 km","1:357,000"
"79",11,99,"thickness change","(none)",6120,"DEBOLT FM",6040,"STODDART FM","normal",330,NA,"Southern boundary fault of Cindy Graben","O'Connell, S.C.","1994","Geological History of the Peace River Arch.","In: Geological Atlas of the Western Canada Sedimentary Basin.  G.D. Mossop and I. Shetsen (compilers), Calgary; Canadian Society of Petroleum Geologists and Alberta Research Council. p. 431-438.","434","< 1 km","1:465,000"
"80",11,95,"thickness change","(none)",6120,"DEBOLT FM",6040,"STODDART FM","normal",335,NA,"Southern boundary fault of Hines Creek Graben","O'Connell, S.C.","1994","Geological History of the Peace River Arch.","In: Geological Atlas of the Western Canada Sedimentary Basin.  G.D. Mossop and I. Shetsen (compilers), Calgary; Canadian Society of Petroleum Geologists and Alberta Research Council. p. 431-438.","434","< 1 km","1:465,000"
"82",11,97,"thickness change","(none)",6120,"DEBOLT FM",6040,"STODDART FM","normal",320,NA,"Southern boundary fault of Whitelaw Graben","O'Connell, S.C.","1994","Geological History of the Peace River Arch.","In: Geological Atlas of the Western Canada Sedimentary Basin.  G.D. Mossop and I. Shetsen (compilers), Calgary; Canadian Society of Petroleum Geologists and Alberta Research Council. p. 431-438.","434","< 1 km","1:465,000"
"83",11,98,"thickness change","(none)",6120,"DEBOLT FM",6040,"STODDART FM","normal",160,NA,"Northern boundary fault of Cindy Graben","O'Connell, S.C.","1994","Geological History of the Peace River Arch.","In: Geological Atlas of the Western Canada Sedimentary Basin.  G.D. Mossop and I. Shetsen (compilers), Calgary; Canadian Society of Petroleum Geologists and Alberta Research Council. p. 431-438.","434","< 1 km","1:465,000"
"84",11,93,"thickness change","(none)",6040,"STODDART FM",NA,NA,"unknown",0,NA,"Interpreted structural boundary of the Dawson Creek Graben","O'Connell, S.C.","1994","Geological History of the Peace River Arch.","In: Geological Atlas of the Western Canada Sedimentary Basin.  G.D. Mossop and I. Shetsen (compilers), Calgary; Canadian Society of Petroleum Geologists and Alberta Research Council. p. 431-438.","434","< 1 km","1:465,000"
"85",11,96,"thickness change","(none)",6120,"DEBOLT FM",6040,"STODDART FM","normal",150,NA,"Northern boundary fault of Whitelaw Graben","O'Connell, S.C.","1994","Geological History of the Peace River Arch.","In: Geological Atlas of the Western Canada Sedimentary Basin.  G.D. Mossop and I. Shetsen (compilers), Calgary; Canadian Society of Petroleum Geologists and Alberta Research Council. p. 431-438.","434","< 1 km","1:465,000"
"99",2,121,"structural contours","(none)",9800,"PRECAMBRIAN SYSTEM",NA,NA,"unknown",0,NA,"May be the southwestern continuation of fault 120","Burwash, R.A., McGregor, C.R., and Wilson, J.A.","1994","Precambrian basement beneath the Western Canada Sedimentary Basin.","In: Geological Atlas of the Western Canada Sedimentary Basin.  G.D. Mossop and I. Shetsen (compilers), Calgary; Canadian Society of Petroleum Geologists and Alberta Research Council. p. 49-56.","50","< 1 m","1:5,000,000"
"100",2,122,"structural contours","(none)",9800,"PRECAMBRIAN SYSTEM",NA,NA,"unknown",0,NA,NA,"Burwash, R.A., McGregor, C.R., and Wilson, J.A.","1994","Precambrian basement beneath the Western Canada Sedimentary Basin.","In: Geological Atlas of the Western Canada Sedimentary Basin.  G.D. Mossop and I. Shetsen (compilers), Calgary; Canadian Society of Petroleum Geologists and Alberta Research Council. p. 49-56.","50","< 1 m","1:5,000,000"
"101",2,108,"structural contours","(none)",9800,"PRECAMBRIAN SYSTEM",NA,NA,"unknown",0,NA,"Inferred","Burwash, R.A., McGregor, C.R., and Wilson, J.A.","1994","Precambrian basement beneath the Western Canada Sedimentary Basin.","In: Geological Atlas of the Western Canada Sedimentary Basin.  G.D. Mossop and I. Shetsen (compilers), Calgary; Canadian Society of Petroleum Geologists and Alberta Research Council. p. 49-56.","50","< 1 m","1:5,000,000"
"102",2,109,"structural contours","(none)",9800,"PRECAMBRIAN SYSTEM",NA,NA,"unknown",0,NA,"Inferred","Burwash, R.A., McGregor, C.R., and Wilson, J.A.","1994","Precambrian basement beneath the Western Canada Sedimentary Basin.","In: Geological Atlas of the Western Canada Sedimentary Basin.  G.D. Mossop and I. Shetsen (compilers), Calgary; Canadian Society of Petroleum Geologists and Alberta Research Council. p. 49-56.","50","< 1 m","1:5,000,000"
"103",2,117,"structural contours","(none)",9800,"PRECAMBRIAN SYSTEM",NA,NA,"unknown",0,NA,"May be the southwesterly continuation of fault 116","Burwash, R.A., McGregor, C.R., and Wilson, J.A.","1994","Precambrian basement beneath the Western Canada Sedimentary Basin.","In: Geological Atlas of the Western Canada Sedimentary Basin.  G.D. Mossop and I. Shetsen (compilers), Calgary; Canadian Society of Petroleum Geologists and Alberta Research Council. p. 49-56.","50","< 1 m","1:5,000,000"
"104",2,124,"structural contours","(none)",9800,"PRECAMBRIAN SYSTEM",NA,NA,"unknown",0,NA,"May be Dunvegan fault","Burwash, R.A., McGregor, C.R., and Wilson, J.A.","1994","Precambrian basement beneath the Western Canada Sedimentary Basin.","In: Geological Atlas of the Western Canada Sedimentary Basin.  G.D. Mossop and I. Shetsen (compilers), Calgary; Canadian Society of Petroleum Geologists and Alberta Research Council. p. 49-56.","50","< 1 m","1:5,000,000"
"105",2,110,"structural contours","(none)",9800,"PRECAMBRIAN SYSTEM",NA,NA,"unknown",0,NA,"Inferred","Burwash, R.A., McGregor, C.R., and Wilson, J.A.","1994","Precambrian basement beneath the Western Canada Sedimentary Basin.","In: Geological Atlas of the Western Canada Sedimentary Basin.  G.D. Mossop and I. Shetsen (compilers), Calgary; Canadian Society of Petroleum Geologists and Alberta Research Council. p. 49-56.","50","< 1 m","1:5,000,000"
"106",2,111,"structural contours","(none)",9800,"PRECAMBRIAN SYSTEM",NA,NA,"unknown",0,NA,"Inferred","Burwash, R.A., McGregor, C.R., and Wilson, J.A.","1994","Precambrian basement beneath the Western Canada Sedimentary Basin.","In: Geological Atlas of the Western Canada Sedimentary Basin.  G.D. Mossop and I. Shetsen (compilers), Calgary; Canadian Society of Petroleum Geologists and Alberta Research Council. p. 49-56.","50","< 1 m","1:5,000,000"
"107",28,125,"geophysical logs","hydrocarbon accumulation",7560,"SWAN HILLS MBR",1601,"UPPER COLORADO","normal",0,"SW down","A fault zone trending N65W ""the Viking linear trend"" The main fault: 4.6 m throw NE block up at Swan Hills lower dark Member and 12 m throw SW up at top of Colorado (Jones, 1980)","Jones, R.M.P.","1980","Basinal isostatic adjustment faults and their petroleum significance.","Bulletin of Canadian Petroleum Geology, 28, p. 211-251.","213","> 1 km, < 2 km","1:185,000"
"108",28,126,"geophysical logs","hydrocarbon accumulation",2500,"UPPER MANNVILLE FM",2060,"BASE FISH SCALES ZONE","unknown",25,"NE down","A fault zone trending N65W ""the Viking linear trend"" The main fault: 7.5 m throw SW block up at Swan Hills lower dark Member and 12 m throw SW up at base of Fish Scale Sand  (Jones, 1980)","Jones, R.M.P.","1980","Basinal isostatic adjustment faults and their petroleum significance.","Bulletin of Canadian Petroleum Geology, 28, p. 211-251.","213","> 1 km, < 2 km","1:185,000"
"112",3,136,"aeromagnetics","(none)",9800,"PRECAMBRIAN SYSTEM",NA,NA,"sinistral",0,NA,"Western (inferred) boundary of the Taltson Magmatic Zone","Burwash, R.A., McGregor, C.R., and Wilson, J.A.","1994","Precambrian basement beneath the Western Canada Sedimentary Basin.","In: Geological Atlas of the Western Canada Sedimentary Basin.  G.D. Mossop and I. Shetsen (compilers), Calgary; Canadian Society of Petroleum Geologists and Alberta Research Council. p. 49-56.","55","< 1 km","1:10,000,000"
"113",3,138,"aeromagnetics","(none)",9800,"PRECAMBRIAN SYSTEM",NA,NA,"sinistral",0,NA,"Eastern (inferred) boundary of the Taltson Magmatic Zone","Burwash, R.A., McGregor, C.R., and Wilson, J.A.","1994","Precambrian basement beneath the Western Canada Sedimentary Basin.","In: Geological Atlas of the Western Canada Sedimentary Basin.  G.D. Mossop and I. Shetsen (compilers), Calgary; Canadian Society of Petroleum Geologists and Alberta Research Council. p. 49-56.","55","< 1 km","1:10,000,000"
"116",3,140,"aeromagnetics","geophysical logs",9800,"PRECAMBRIAN SYSTEM",NA,NA,"dextral",0,NA,"Northern boundary of the Rimbey Magmatic Zone (inferred segment)","Burwash, R.A., McGregor, C.R., and Wilson, J.A.","1994","Precambrian basement beneath the Western Canada Sedimentary Basin.","In: Geological Atlas of the Western Canada Sedimentary Basin.  G.D. Mossop and I. Shetsen (compilers), Calgary; Canadian Society of Petroleum Geologists and Alberta Research Council. p. 49-56.","55","< 1 km","1:10,000,000"
